Name|Tier|Duration|Difficulty|Upgrades|Penalty|SpecialModifier|Modifier|Description
Delay Effect|Metamagic|Instantaneous|0|0|0|boost|Add 1 Boost die|The effects of this spell occur at the beginning of your next turn, instead of Immediately. Additional instances of this Spell Effect delay the effects of this spell by an additional round but do not add any additional Boost dice beyond the first.
Exclude Targets|Metamagic|Instantaneous|0|0|1||Add 1 Penalty die|One affected creature ignores one node of a spell effect cast together with this spell effect. Indirect effects of spells, such as damage from the attacks of summoned creatures or Penalty dice from magically created weather events, still affect a creautre targeted by this spell effect.
Increase Area of Effect|Metamagic|Instantaneous|1|0|0||Increase Difficulty by 1|Any area of effect given in a spell effect's description that is cast together with this effect has its radius increased by 5 cm. This spell effect cannot stack with itself.
Increase Duration|Metamagic|Instantaneous|0|0|0|double|Apply the Casting Modifier a second time for each Spell Effect that was doubled |The duration of all non-instantaneous spell effect cast together with this spell effect is doubled. This spell effect does not stack with itself.
Overexert|Metamagic|Instantaneous|0|0|0|success|Add 1 automatic Success to your roll|Take 1 Stamina.
Recklessly Cast|Metamagic|Instantaneous|0|2|0||Upgrade check 2 times|Until the end of your next turn, upgrade the Difficulty of all skill checks by 2. This spell effect has no effect out of combat.
Store Spell|Metamagic|10 minutes|0|1|0||Upgrade Difficulty 1 time|For each node of this spell effect, choose one other node of a non-Metamagic spell effect that you are trying to cast. The chosen nodes do not affect this spell's target, but are instead stored by the target. The next time the target hits a creature with a weapon attack, the stored nodes affect the target of the weapon attack. If you target a creature that already has spell effect nodes stored with this spell, your new nodes replace their previous ones.
Subtle Cast |Metamagic|Instantaneous|1|0|0||Increase Difficulty by 1|When casting a spell that includes this spell effect, you show no outward signs that you are casting a spell. However, another creature can still tell that you are casting a spell if they pass an Arcana check with a number of Challenge dice equal to your ranks in Arcana, plus one Penalty die for each node of Subtle Cast included in the spell. 
Aid|Initiate|1 round|1|0|0||Increase Difficulty 1 time|The target may Upgrade the Ability of one check 2 times before the end of this effect's duration. Additional nodes of this effect increase the duration of this effect by 1 round each.
Animate Object|Initiate|1 hour|1|1|0||Increase Difficulty by 1, upgrade Difficulty of check 1 time|Target a non-magical, non-Broken, non-carried or worn object of Encumbrance 0-3 to become an Animated Object. It remains under your control for the duration of the spell until it is destroyed, dismissed as an incidental, or reaches Extreme range. The object becomes Broken if it is reduced to 0 Hit Points or less. The Animated Object is immediately hostile to you if you pass the spell check and roll 1 or more Calamity, but you may spend 1 Conquest to negate this effect. Each additional node of this spell increases the duration by 1 hour. Anytime before this spell would end you may spend 1 Stamina as an Incidental to refresh the duration of this spell, additional nodes included, for all targets within Extreme range.This spell effect cannot be cast as an area-target spell.
Candle Light|Initiate|1 hour|0|0|2||Add 2 Penalty dice|If cast on one or multiple targets, each of those targets sheds light as if they were carrying a candle with them (moving where they go). This spell effect cannot be cast as an area-target spell.
Darkvision|Initiate|1 hour|1|0|0||Increase Difficulty by 1|The target gains Darkvision for the duration. For each additional node of this spell, increase the duration by 1 hour. You may spend 1 Stamina as an Incidental to refresh the duration of this spell effect on all targets within extreme range, extra nodes included, anytime before this spell would end.
Damage|Initiate|Instantaneous|1|0|0||Increase Difficulty by 1|Upon acquiring, choose a non-Physical, non-Silver damage type to gain access to. When casting a spell with this mode, do 2 damage of the chosen type per spell point used. This damage ignores Defense, but does not ignore Damage Reduction or resistances.
